City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
607,Moree,AU,57.22,clear sky,-29.4667,149.85,Molika Springs Motel
608,Kipushi,CD,62.11,overcast clouds,-11.7667,27.2333,Villa Madimba
609,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
611,Abu Dhabi,AE,71.62,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
618,Tabuk,PH,68.72,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
619,Celestun,MX,74.1,broken clouds,20.8667,-90.4,Posada Lilia
620,Pansemal,IN,67.19,clear sky,21.65,74.7,जय अम्बे टी स्टाल निवाली रोड पानसेमल
625,Pasni,PK,71.87,clear sky,25.2631,63.471,Kashmiri Hotal
629,Marsaxlokk,MT,57.07,few clouds,35.8419,14.5431,Water's Edge
640,Placer,US,55.56,overcast clouds,39.0666,-120.7677,Community of the Great Commission
644,Mackay,AU,74.68,scattered clouds,-21.15,149.2,International Lodge Motel
649,Hambantota,LK,74.71,few clouds,6.1241,81.1185,Bungalow 63
654,Sur,OM,72.73,clear sky,22.5667,59.5289,Sur Plaza Hotel
656,Nizwa,OM,70.34,clear sky,22.9333,57.5333,Orient Apartments
659,Taltal,CL,71.53,few clouds,-25.4,-70.4833,Residencial Karime
660,San Jeronimo,PE,60.22,light rain,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
663,Waddan,LY,58.62,clear sky,29.1614,16.139,محل الشريف محمد العايب
665,Lae,PG,74.07,overcast clouds,-6.7221,146.9847,Phils Hotel
672,Copiapo,CL,69.49,clear sky,-27.3667,-70.3333,San Francisco de La Selva
676,Ginir,ET,61.02,overcast clouds,7.1333,40.7,Sura Dare Village
679,Kurunegala,LK,73.92,broken clouds,7.4863,80.3623,Galhena Estate Buluwala
682,Hirara,JP,62.19,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
683,Alghero,IT,55.49,broken clouds,40.5589,8.3181,Villa Las Tronas Hotel & Spa
684,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
688,Orcopampa,PE,57.67,overcast clouds,-15.2661,-72.3417,Happy Wasi
689,Durban,ZA,74.01,overcast clouds,-29.8579,31.0292,Hilton Durban
694,Rabo De Peixe,PT,61.29,few clouds,37.8,-25.5833,Quinta das Giestas
695,La Asuncion,VE,73.13,clear sky,11.0333,-63.8628,Colinas de Matasiete
697,Kindu,CD,69.93,light rain,-2.95,25.95,Résidence Okanda
702,Orizaba,MX,55.15,overcast clouds,18.85,-97.1,"Holiday Inn Orizaba, an IHG Hotel"
703,Misratah,LY,62.04,broken clouds,32.3754,15.0925,Almasa Hotel
709,Karpathos,GR,58.96,overcast clouds,35.507,27.2132,Alex
711,Mecca,SA,63.43,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
713,Whitianga,NZ,72.01,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
719,Burnie,AU,58.95,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
